"fingerprint","classification","primary","secondary_pages","matching_fields","differing_fields","action","primary_product_id","primary_url","duplicate_product_ids","duplicate_urls","owner_decision"
"c58f880ad4d60a1e07916366","confirmed_full_duplicate","{""product_id"":1510,""source_id"":""8107954011"",""canonical_path"":""/catalog/product/panel-priborov-kia-seltos-1510/"",""title"":""Панель приборов Kia Seltos"",""detail"":""Панель приборов"",""brand"":""Kia"",""model"":""Seltos"",""category_id"":""c1006"",""oem"":""94023Q7000FHV"",""price"":39600,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.NJQGCbawmH0wvhpwYm0smSmpmn22oJB3sA.PyhFUHu5FHDzvIvT_y0VbZyQCS8UXMuulzvfe7cK-YI""],""compatibility"":[{""brand"":""Kia"",""model"":""Seltos"",""generation"":""I рестайлинг"",""years"":[2022,2023,2024,2025,2026],""yearFrom"":2022,""yearTo"":2026,""raw"":""Kia|Seltos|I рестайлинг (2022—2026)|||""}],""side"":"""",""generation"":""I рестайлинг"",""year_from"":2022,""year_to"":2026}","[{""product_id"":1525,""source_id"":""8076824709"",""canonical_path"":""/catalog/product/panel-priborov-kia-seltos-1525/"",""title"":""Панель приборов Kia Seltos"",""detail"":""Панель приборов"",""brand"":""Kia"",""model"":""Seltos"",""category_id"":""c1006"",""oem"":""94023Q7000FHV"",""price"":39600,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.TUwf17aw4aUpYGOoCdYNATB346WvfumvqQ.cm23Fybm7QZkRXEP_bJ4SLfQDfDed4zZ3M1txbCYQ5Q""],""compatibility"":[{""brand"":""Kia"",""model"":""Seltos"",""generation"":""I рестайлинг"",""years"":[2022,2023,2024,2025,2026],""yearFrom"":2022,""yearTo"":2026,""raw"":""Kia|Seltos|I рестайлинг (2022—2026)|||""}],""side"":"""",""generation"":""I рестайлинг"",""year_from"":2022,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/panel-priborov-kia-seltos-1510/"",""reason"":""Все подтверждённые идентификационные поля совпадают с основной страницей.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""photos""]","secondary_noindex_canonical_to_primary","1510","/catalog/product/panel-priborov-kia-seltos-1510/","[1525]","[""/catalog/product/panel-priborov-kia-seltos-1525/""]",""
"fddd3e4fbfcf174a1b743161","confirmed_full_duplicate","{""product_id"":1648,""source_id"":""4205226891"",""canonical_path"":""/catalog/product/steklo-lobovoe-changan-uni-k-original-1648/"",""title"":""Стекло лобовое Changan Uni-K (оригинал)"",""detail"":""Стекло лобовое"",""brand"":""Changan"",""model"":""UNI-K"",""category_id"":""c1009"",""oem"":""5206010CR02AB CD569F2705010101AA"",""price"":68250,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.an0B1rawxpQ3YUSZWd9WTyB2xJSxf86etw.wB6Nmcbmw_Sewf3eNw4tgcDw4TkPD7tlOSabKgbu7Lk""],""compatibility"":[{""brand"":""Changan"",""model"":""UNI-K"",""generation"":""I"",""years"":[2020,2021,2022,2023,2024,2025,2026],""yearFrom"":2020,""yearTo"":2026,""raw"":""Changan|UNI-K|I (2020—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2020,""year_to"":2026}","[{""product_id"":1659,""source_id"":""4045440751"",""canonical_path"":""/catalog/product/steklo-lobovoe-changan-uni-k-original-1659/"",""title"":""Стекло лобовое Changan Uni-K (оригинал)"",""detail"":""Стекло лобовое"",""brand"":""Changan"",""model"":""UNI-K"",""category_id"":""c1009"",""oem"":""5206010CR02AB CD569F2705010101AA"",""price"":68250,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.GQWaG7awteysrDfhpD9wNru7t-wqsr3mLA.TnO0yrF_QdAjf0k5BWOswPcc8zIMW70sLKolLCHC7Sc""],""compatibility"":[{""brand"":""Changan"",""model"":""UNI-K"",""generation"":""I"",""years"":[2020,2021,2022,2023,2024,2025,2026],""yearFrom"":2020,""yearTo"":2026,""raw"":""Changan|UNI-K|I (2020—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2020,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/steklo-lobovoe-changan-uni-k-original-1648/"",""reason"":""Все подтверждённые идентификационные поля совпадают с основной страницей.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""photos""]","secondary_noindex_canonical_to_primary","1648","/catalog/product/steklo-lobovoe-changan-uni-k-original-1648/","[1659]","[""/catalog/product/steklo-lobovoe-changan-uni-k-original-1659/""]",""
"cc446d1d914330dd9b3f87ec","confirmed_full_duplicate","{""product_id"":1990,""source_id"":""4300580387"",""canonical_path"":""/catalog/product/kryshka-bagazhnika-lixiang-l7-original-1990/"",""title"":""Крышка багажника Lixiang L7 (оригинал)"",""detail"":""Крышка багажника Lixiang"",""brand"":""Li Auto"",""model"":""L7"",""category_id"":""c1010"",""oem"":""X0390000042"",""price"":126357,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.ASF3D7awrchBuC_FeVdKHFavr8jHpqXCwQ._pty2UoXR-bBtDTVDrLOblXef8mCGEgrMJgk1yTur-g""],""compatibility"":[{""brand"":""Li Auto"",""model"":""L7"",""generation"":""I"",""years"":[2023,2024],""yearFrom"":2023,""yearTo"":2024,""raw"":""Li Auto|L7|I (2023—2024)|1.5hyb 4WD AT (449 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""I"",""year_from"":2023,""year_to"":2024}","[{""product_id"":2733,""source_id"":""4172870450"",""canonical_path"":""/catalog/product/kryshka-bagazhnika-lixiang-l7-original-2733/"",""title"":""Крышка багажника Lixiang L7 (оригинал)"",""detail"":""Крышка багажника Lixiang"",""brand"":""Li Auto"",""model"":""L7"",""category_id"":""c1010"",""oem"":""X0390000042"",""price"":126357,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.AVT9D7awrb3LuC-w8wcSZ9yvr71NpqW3Sw.v3bbnnV8FAED9tmMmjDNDXzNyn3yzfpd0AEMxwwH0Xk""],""compatibility"":[{""brand"":""Li Auto"",""model"":""L7"",""generation"":""I"",""years"":[2023,2024],""yearFrom"":2023,""yearTo"":2024,""raw"":""Li Auto|L7|I (2023—2024)|1.5hyb 4WD AT (449 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""I"",""year_from"":2023,""year_to"":2024,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/kryshka-bagazhnika-lixiang-l7-original-1990/"",""reason"":""Все подтверждённые идентификационные поля совпадают с основной страницей.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""photos""]","secondary_noindex_canonical_to_primary","1990","/catalog/product/kryshka-bagazhnika-lixiang-l7-original-1990/","[2733]","[""/catalog/product/kryshka-bagazhnika-lixiang-l7-original-2733/""]",""
"cad863f4062206459409120a","confirmed_full_duplicate","{""product_id"":2275,""source_id"":""4492963358"",""canonical_path"":""/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2275/"",""title"":""Крыло переднее правое Geely Monjaro (оригинал)"",""detail"":""Крыло переднее правое"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1010"",""oem"":""5035081900C15"",""price"":31500,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.U_5dk7aw_xdrJH0ad_oxwnwz_RftOvcd6w.QWGUlxoPuEN61C29hQ-8nyWv15Z1lCQ_8avMLNPQTuc""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026}","[{""product_id"":2739,""source_id"":""4493473457"",""canonical_path"":""/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2739/"",""title"":""Крыло переднее правое Geely Monjaro (оригинал)"",""detail"":""Крыло переднее правое"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1010"",""oem"":""5035081900C15"",""price"":31500,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.yTi1D7awZdGDuOfcq0SeBpSvZ9EFpm3bAw.CRo3dEf6gbH8Jnzuw-DslcbDFz15CzIAnJJG02qQ8Zo""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2275/"",""reason"":""Все подтверждённые идентификационные поля совпадают с основной страницей.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""photos""]","secondary_noindex_canonical_to_primary","2275","/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2275/","[2739]","[""/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2739/""]",""
"6f1ea418d835f7ac558d3439","confirmed_owner_duplicate","{""product_id"":1101,""source_id"":""4493216174"",""canonical_path"":""/catalog/product/fonar-zadnii-tsentralnyi-geely-monjaro-original-1101/"",""title"":""Фонарь задний центральный Geely Monjaro (оригинал)"",""detail"":""Фонарь задний центральный"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1002"",""oem"":""7057045900"",""price"":70560,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.gH3T0rawLJTlZa6Z35zJQPJyLpRjeySeZQ.NK78Z9h9USx4hF7TbCSPfSLb2wRXISq1lvhF2bGe8Js""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026}","[{""product_id"":1173,""source_id"":""4460983734"",""canonical_path"":""/catalog/product/zadnii-tsentralnyi-fonar-geely-monjaro-1173/"",""title"":""Задний центральный фонарь Geely Monjaro"",""detail"":""Задний центральный фонарь"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1002"",""oem"":""7057045900"",""price"":70560,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.7CbTZ7awQM_l0MLCh3yCFfLHQs9jzkjFZQ.SK7oz4ujW2IJA2824wFRLOEfZWYnoZbyvIE24O_uCPs""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/fonar-zadnii-tsentralnyi-geely-monjaro-original-1101/"",""reason"":""Владелец подтвердил, что 1101 и 1173 — один товар; основной товар 1101 выбран из-за наличия фотографии и явного указания на оригинал.""}]","[""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""title"",""detail"",""photos""]","secondary_noindex_canonical_to_primary","1101","/catalog/product/fonar-zadnii-tsentralnyi-geely-monjaro-original-1101/","[1173]","[""/catalog/product/zadnii-tsentralnyi-fonar-geely-monjaro-1173/""]","{""action"":""canonical_duplicate"",""primary_product_id"":1101,""reason"":""Владелец подтвердил, что 1101 и 1173 — один товар; основной товар 1101 выбран из-за наличия фотографии и явного указания на оригинал.""}"
"63cec59a40757ea9671c9016","confirmed_owner_duplicate","{""product_id"":1149,""source_id"":""8108672023"",""canonical_path"":""/catalog/product/zadnyaya-levaya-fara-geely-galaxy-starship-7-1149/"",""title"":""Задняя левая фара Geely galaxy starship 7"",""detail"":""Задняя левая фара"",""brand"":""Geely"",""model"":""Galaxy Starship 7"",""category_id"":""c1002"",""oem"":""6608137632"",""price"":18792,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.BEHds7awqKjrBCql2fc1TPITqqhtGqCiaw.Opaa9elXZYIkNdOwBUk6cqVZEbZIxfrdPVGej9_Ezq8""],""compatibility"":[{""brand"":""Geely"",""model"":""Galaxy Starship 7"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""Geely|Galaxy Starship 7|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026}","[{""product_id"":1242,""source_id"":""8108724475"",""canonical_path"":""/catalog/product/zadnii-levyi-fonar-geely-galaxy-starship-7-1242/"",""title"":""Задний левый фонарь Geely galaxy starship 7"",""detail"":""Задний левый фонарь"",""brand"":""Geely"",""model"":""Galaxy Starship 7"",""category_id"":""c1002"",""oem"":""6608137632"",""price"":18792,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.rsJDaLawAit134AmExLn-WzIACvzwQoh9Q.f81I93B20bpHm4VtUqcXQ4OhKZy-TueFZYUqSTzpSaE""],""compatibility"":[{""brand"":""Geely"",""model"":""Galaxy Starship 7"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""Geely|Galaxy Starship 7|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/zadnyaya-levaya-fara-geely-galaxy-starship-7-1149/"",""reason"":""Владелец подтвердил дубль; основной товар 1149.""}]","[""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""title"",""detail"",""photos""]","secondary_noindex_canonical_to_primary","1149","/catalog/product/zadnyaya-levaya-fara-geely-galaxy-starship-7-1149/","[1242]","[""/catalog/product/zadnii-levyi-fonar-geely-galaxy-starship-7-1242/""]","{""action"":""canonical_duplicate"",""primary_product_id"":1149,""reason"":""Владелец подтвердил дубль; основной товар 1149.""}"
"16b499100fd90a8fb6bab4b7","confirmed_owner_duplicate","{""product_id"":1153,""source_id"":""8107914201"",""canonical_path"":""/catalog/product/zadnyaya-pravaya-fara-geely-galaxy-starship-7-1153/"",""title"":""Задняя правая фара Geely galaxy starship 7"",""detail"":""Задняя правая фара"",""brand"":""Geely"",""model"":""Galaxy Starship 7"",""category_id"":""c1002"",""oem"":""6608137631"",""price"":18792,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.w6Sz7rawb02FWe1Audn3ppxObU0DR2dHBQ.quwOUess7fye_Glenea-LWGLsoFGTrogypX3cgdAihc""],""compatibility"":[{""brand"":""Geely"",""model"":""Galaxy Starship 7"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""Geely|Galaxy Starship 7|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026}","[{""product_id"":1330,""source_id"":""8108643761"",""canonical_path"":""/catalog/product/zadnii-pravyi-fonar-geely-galaxy-starship-7-1330/"",""title"":""Задний правый фонарь Geely galaxy starship 7"",""detail"":""Задний правый фонарь"",""brand"":""Geely"",""model"":""Galaxy Starship 7"",""category_id"":""c1002"",""oem"":""6608137631"",""price"":18792,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Qf9M8Law7RZ6R28bQr0DxGNQ7xb8WeUc-g.jyF3V5-qp87nNFcgb8veQdnBre6B-YbzkmxmW0Ctzao""],""compatibility"":[{""brand"":""Geely"",""model"":""Galaxy Starship 7"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""Geely|Galaxy Starship 7|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/zadnyaya-pravaya-fara-geely-galaxy-starship-7-1153/"",""reason"":""Владелец подтвердил дубль; основной товар 1153.""}]","[""brand"",""model"",""category_id"",""oem"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""title"",""detail"",""photos""]","secondary_noindex_canonical_to_primary","1153","/catalog/product/zadnyaya-pravaya-fara-geely-galaxy-starship-7-1153/","[1330]","[""/catalog/product/zadnii-pravyi-fonar-geely-galaxy-starship-7-1330/""]","{""action"":""canonical_duplicate"",""primary_product_id"":1153,""reason"":""Владелец подтвердил дубль; основной товар 1153.""}"
"8f6aef4a3998b76087521627","confirmed_owner_duplicate","{""product_id"":1670,""source_id"":""4204578114"",""canonical_path"":""/catalog/product/steklo-zadnee-changan-uni-k-original-1670/"",""title"":""Стекло заднее Changan Uni-K (оригинал)"",""detail"":""Стекло заднее"",""brand"":""Changan"",""model"":""UNI-K"",""category_id"":""c1009"",""oem"":""6303010CR03АА"",""price"":49440,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Ig4gH7awjucWqAzqaHMbPAG_jOeQtobtlg.XVCGdDMi2RK3uFaMzIQqC6GYDoVy6Vxj9BznJ4Ovxzk""],""compatibility"":[{""brand"":""Changan"",""model"":""UNI-K"",""generation"":""I"",""years"":[2020,2021,2022,2023,2024,2025,2026],""yearFrom"":2020,""yearTo"":2026,""raw"":""Changan|UNI-K|I (2020—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2020,""year_to"":2026}","[{""product_id"":1665,""source_id"":""4045232099"",""canonical_path"":""/catalog/product/steklo-zadnee-changan-uni-k-original-1665/"",""title"":""Стекло заднее Changan Uni-K (оригинал)"",""detail"":""Стекло заднее"",""brand"":""Changan"",""model"":""UNI-K"",""category_id"":""c1009"",""oem"":""6303010CR03АА"",""price"":49140,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.JhjvBLawivHZswj8rxx-Js6kiPFfrYL7WQ.luXbzSbdup8_IgljGY1xZ1vGEwp8wM5_SUZTbeImBrY""],""compatibility"":[{""brand"":""Changan"",""model"":""UNI-K"",""generation"":""I"",""years"":[2020,2021,2022,2023,2024,2025,2026],""yearFrom"":2020,""yearTo"":2026,""raw"":""Changan|UNI-K|I (2020—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2020,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/steklo-zadnee-changan-uni-k-original-1670/"",""reason"":""Владелец подтвердил дубль; основной товар 1670 выбран по максимальной цене 49 440 ₽.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""oem"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""price"",""photos""]","secondary_noindex_canonical_to_primary","1670","/catalog/product/steklo-zadnee-changan-uni-k-original-1670/","[1665]","[""/catalog/product/steklo-zadnee-changan-uni-k-original-1665/""]","{""action"":""canonical_duplicate"",""primary_product_id"":1670,""reason"":""Владелец подтвердил дубль; основной товар 1670 выбран по максимальной цене 49 440 ₽.""}"
"bb7f2488206f11b6a598aa42","confirmed_owner_duplicate","{""product_id"":1790,""source_id"":""8076480141"",""canonical_path"":""/catalog/product/zerkalo-levoe-byd-seal-06-gt-1790/"",""title"":""Зеркало левое BYD Seal 06 GT"",""detail"":""Зеркало левое"",""brand"":""BYD"",""model"":""Seal 06 GT"",""category_id"":""c1010"",""oem"":""14690053-00/EHEA-8202001C"",""price"":41184,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.yIIeNbawZGsoguZmAmqavD-VZmuunGxhqA.hzZWIBVxIoGeLBTsNA6UJNXahoQqY_S71olJHeedddE""],""compatibility"":[{""brand"":""BYD"",""model"":""Seal 06 GT"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""BYD|Seal 06 GT|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026}","[{""product_id"":1831,""source_id"":""8108858033"",""canonical_path"":""/catalog/product/zerkalo-levoe-byd-seal-06-gt-1831/"",""title"":""Зеркало левое BYD Seal 06 GT"",""detail"":""Зеркало левое"",""brand"":""BYD"",""model"":""Seal 06 GT"",""category_id"":""c1010"",""oem"":""1469005300"",""price"":41184,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.pSpv7bawCcNZWovOKdeDE0BNC8PfRAHJ2Q.WO_2oCrsnSSCEX8DivvvwFf_2m9jKKUi0lElqBqppA0""],""compatibility"":[{""brand"":""BYD"",""model"":""Seal 06 GT"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""BYD|Seal 06 GT|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/zerkalo-levoe-byd-seal-06-gt-1790/"",""reason"":""Владелец подтвердил дубль; основной товар 1790.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""oem"",""photos""]","secondary_noindex_canonical_to_primary","1790","/catalog/product/zerkalo-levoe-byd-seal-06-gt-1790/","[1831]","[""/catalog/product/zerkalo-levoe-byd-seal-06-gt-1831/""]","{""action"":""canonical_duplicate"",""primary_product_id"":1790,""reason"":""Владелец подтвердил дубль; основной товар 1790.""}"
"2ba7c4a6207f23ed1c597a85","confirmed_owner_duplicate","{""product_id"":1870,""source_id"":""8108761610"",""canonical_path"":""/catalog/product/zerkalo-pravoe-byd-seal-06-gt-1870/"",""title"":""Зеркало правое BYD Seal 06 GT"",""detail"":""Зеркало правое"",""brand"":""BYD"",""model"":""Seal 06 GT"",""category_id"":""c1010"",""oem"":""1469005700"",""price"":41184,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.xzRU8Lawa91iR-nQVuPfDntQad3kWWPX4g.pI02zDxOWXEIwCf9tvfjXqmz0p1q7czqn8K_fr18Nz8""],""compatibility"":[{""brand"":""BYD"",""model"":""Seal 06 GT"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""BYD|Seal 06 GT|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026}","[{""product_id"":2165,""source_id"":""8076347767"",""canonical_path"":""/catalog/product/zerkalo-pravoe-byd-seal-06-gt-2165/"",""title"":""Зеркало правое BYD Seal 06 GT"",""detail"":""Зеркало правое"",""brand"":""BYD"",""model"":""Seal 06 GT"",""category_id"":""c1010"",""oem"":""14690057-00/EHEA-8202002C"",""price"":41184,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.XSe7Mbaw8c6NhnPDjSw3G5qR884LmPnEDQ.eqAb5TQNvK_Aq_u0CaQEctO0Y-9zZ0e72dPmqUeU0cc""],""compatibility"":[{""brand"":""BYD"",""model"":""Seal 06 GT"",""generation"":""I"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""BYD|Seal 06 GT|I (2024—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2024,""year_to"":2026,""robots"":""noindex,follow"",""canonical_path_target"":""/catalog/product/zerkalo-pravoe-byd-seal-06-gt-1870/"",""reason"":""Владелец подтвердил дубль; основной товар 1870.""}]","[""title"",""detail"",""brand"",""model"",""category_id"",""price"",""condition"",""origin"",""compatibility"",""side"",""generation"",""year_from"",""year_to""]","[""oem"",""photos""]","secondary_noindex_canonical_to_primary","1870","/catalog/product/zerkalo-pravoe-byd-seal-06-gt-1870/","[2165]","[""/catalog/product/zerkalo-pravoe-byd-seal-06-gt-2165/""]","{""action"":""canonical_duplicate"",""primary_product_id"":1870,""reason"":""Владелец подтвердил дубль; основной товар 1870.""}"
