"product_id","source_id","title","brand","model","canonical_path","status","robots","action","reasons"
"1001","7500756023","Двигатель в сборе Weichai WP12.430E50","Маз","","/catalog/product/dvigatel-v-sbore-weichai-wp12-430e50-1001/","unlisted","noindex,follow","manual_review_required","[""needs_review"",""missing_model""]"
"1002","7596771238","Двигатель WD615.47 Евро-2","","","/catalog/product/dvigatel-wd615-47-evro-2-1002/","unlisted","noindex,follow","manual_review_required","[""needs_review"",""missing_brand"",""missing_model""]"
"1003","7500528381","Двигатель в сборе Eicha аналог Weichai WP12.430E50","Shacman","","/catalog/product/dvigatel-v-sbore-eicha-analog-weichai-wp12-430e50-1003/","unlisted","noindex,follow","manual_review_required","[""needs_review"",""missing_model""]"
"1340","7692131494","Фара правая Geely Monjaro (оригинал)","Geely","Monjaro","/catalog/product/fara-pravaya-geely-monjaro-original-1340/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1365","8108743157","Радиатор BYD Seal 06 GT","BYD","Seal 06 GT","/catalog/product/radiator-byd-seal-06-gt-1365/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1378","8108280589","Бачок стеклоочистителя BAW BJ 212","BAW","212","/catalog/product/bachok-stekloochistitelya-baw-bj-212-1378/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1393","8107907720","Радиатор кондиционера Volkswagen Tavendor","Volkswagen","Tavendor","/catalog/product/radiator-konditsionera-volkswagen-tavendor-1393/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1402","8108309778","Радиатор кондиционера BAW BJ 212","BAW","212","/catalog/product/radiator-konditsionera-baw-bj-212-1402/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1410","8107944966","Вентилятор радиатора Volkswagen Tavendor","Volkswagen","Tavendor","/catalog/product/ventilyator-radiatora-volkswagen-tavendor-1410/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1416","8108455785","Интеркулер Volkswagen Tavendor","Volkswagen","Tavendor","/catalog/product/interkuler-volkswagen-tavendor-1416/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1425","8108171589","Радиатор двигателя Volkswagen Tavendor","Volkswagen","Tavendor","/catalog/product/radiator-dvigatelya-volkswagen-tavendor-1425/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1426","8108639207","Вентилятор радиатора Voyah Passion","Voyah","Passion","/catalog/product/ventilyator-radiatora-voyah-passion-1426/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1429","8108482199","Радиатор низких температур Voyah Passion","Voyah","Passion","/catalog/product/radiator-nizkih-temperatur-voyah-passion-1429/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1451","8108331741","Охладитель батареи Voyah Passion","Voyah","Passion","/catalog/product/ohladitel-batarei-voyah-passion-1451/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1457","8044246739","Радиатор двигателя BYD Seal 06 GT","BYD","Seal 06 GT","/catalog/product/radiator-dvigatelya-byd-seal-06-gt-1457/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1458","8108794040","Компрессор кондиционера Volkswagen Tavendor","Volkswagen","Tavendor","/catalog/product/kompressor-konditsionera-volkswagen-tavendor-1458/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1472","8108195488","Бачок стеклоомывателя Volkswagen Tavendor","Volkswagen","Tavendor","/catalog/product/bachok-stekloomyvatelya-volkswagen-tavendor-1472/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1683","7692137660","АКПП в сборе Changan Uni-K","Changan","UNI-K","/catalog/product/akpp-v-sbore-changan-uni-k-1683/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"1698","7596312489","Кпп Great Wall для двигателя GW4D20","Great Wall","","/catalog/product/kpp-great-wall-dlya-dvigatelya-gw4d20-1698/","unlisted","noindex,follow","manual_review_required","[""needs_review"",""missing_model""]"
"1722","4364844018","Комплект колёс на багги - квадроцикл","","","/catalog/product/komplekt-koles-na-baggi-kvadrotsikl-1722/","unlisted","noindex,follow","manual_review_required","[""needs_review"",""missing_brand"",""missing_model""]"
"2017","8107940348","Подкрылок левый задний aito M8","Aito","M8","/catalog/product/podkrylok-levyi-zadnii-aito-m8-2017/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"2145","4045053754","Зеркало заднего вида правое Voyah Free (оригинал)","Voyah","Free","/catalog/product/zerkalo-zadnego-vida-pravoe-voyah-free-original-2145/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"2177","4045277680","Бампер передний Voyah Free в сборе (оригинал)","Voyah","Free","/catalog/product/bamper-perednii-voyah-free-v-sbore-original-2177/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"2665","4364971187","Крышка багажника Changan Uni-K (оригинал)","Changan","Uni-K","/catalog/product/kryshka-bagazhnika-changan-uni-k-original-2665/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
"2807","8076143658","Ноускат Toyota Rav4 XA50 рестайлинг","Toyota","RAV4","/catalog/product/nouskat-toyota-rav4-xa50-restailing-2807/","unlisted","noindex,follow","manual_review_required","[""needs_review""]"
