"product_ids","status","conflicting_oem_values","normalized_oem_set","cards","conflicting_details","action"
"[1095,1187]","needs_manual_confirmation","[""S4010410915"",""S401041-0915""]","[""s4010410915""]","[{""product_id"":1095,""source_id"":""8108212615"",""canonical_path"":""/catalog/product/fonar-zadnii-pravyi-changan-cs95-1095/"",""title"":""Фонарь задний правый Changan CS95"",""detail"":""Фонарь задний правый"",""brand"":""Changan"",""model"":""CS95"",""category_id"":""c1002"",""oem"":""S4010410915"",""price"":26220,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.P7gFtbawk1EzAhFcd80UgSoVkVG1HJtbsw.L-0mBAggChOMx3qepyqdMA944z3gQAb95R_EsfKop7A""],""compatibility"":[{""brand"":""Changan"",""model"":""CS95"",""generation"":""II"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Changan|CS95|II (2023—2026)|2.0 4WD AT (226 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""II"",""year_from"":2023,""year_to"":2026},{""product_id"":1187,""source_id"":""8044121506"",""canonical_path"":""/catalog/product/fonar-kryshki-bagazhnika-levyi-changan-cs95-1187/"",""title"":""Фонарь крышки багажника левый Changan CS95"",""detail"":""Фонарь крышки багажника левый"",""brand"":""Changan"",""model"":""CS95"",""category_id"":""c1002"",""oem"":""S401041-0915"",""price"":26220,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.RPrQPraw6BPmiWoe1HsZxPGe6hNgl-AZZg.LyLQuuhutG_H0AisazlvwJnVrRaJ1sFPwxg8HbiAJ3U""],""compatibility"":[{""brand"":""Changan"",""model"":""CS95"",""generation"":""II"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Changan|CS95|II (2023—2026)|2.0 4WD AT (226 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""II"",""year_from"":2023,""year_to"":2026}]","[""Фонарь задний правый | side_not_set"",""Фонарь крышки багажника левый | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[1174,1657]","needs_manual_confirmation","[""87110R4000""]","[""87110r4000""]","[{""product_id"":1174,""source_id"":""8107987848"",""canonical_path"":""/catalog/product/fara-levaya-kia-sportage-china-v-1174/"",""title"":""Фара левая KIA Sportage (China) V"",""detail"":""Фара левая V"",""brand"":""Kia"",""model"":""Sportage (China)"",""category_id"":""c1002"",""oem"":""87110R4000"",""price"":66816,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.dFLJy7aw2Lv_fFq2rfZtE-Zr2rt5YtCxfw.bbH5-GlbksBE3ODBldIhB9AMJ6-uhlvcdj2Gphz1GRo""],""compatibility"":[{""brand"":""Kia"",""model"":""Sportage (China)"",""generation"":""V"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Kia|Sportage (China)|V (2021—2026)|1.5T AT (200 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""V"",""year_from"":2021,""year_to"":2026},{""product_id"":1657,""source_id"":""8076159395"",""canonical_path"":""/catalog/product/steklo-zadnee-kia-sportage-china-v-1657/"",""title"":""Стекло заднее KIA Sportage (China) V"",""detail"":""Стекло заднее V"",""brand"":""Kia"",""model"":""Sportage (China)"",""category_id"":""c1009"",""oem"":""87110R4000"",""price"":18912,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.ZxMA_7awy_o2SEn3QsZiUC9fyfqwVsPwtg.mXGKwoTNpQMt24cOdYCEijOiGjngAZF0v2I46zJk-rk""],""compatibility"":[{""brand"":""Kia"",""model"":""Sportage (China)"",""generation"":""V"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Kia|Sportage (China)|V (2021—2026)|1.5T AT (200 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""V"",""year_from"":2021,""year_to"":2026}]","[""Фара левая V | side_not_set"",""Стекло заднее V | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[1222,1239]","needs_manual_confirmation","[""371102068""]","[""371102068""]","[{""product_id"":1222,""source_id"":""8044454465"",""canonical_path"":""/catalog/product/fara-perednyaya-levaya-nizhnyaya-voyah-taishan-1222/"",""title"":""Фара передняя левая нижняя Voyah Taishan"",""detail"":""Фара передняя левая нижняя"",""brand"":""Voyah"",""model"":""Taishan"",""category_id"":""c1002"",""oem"":""371102068"",""price"":151998,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.6cdlXrawRS5T6ccjO2Gx-UT-Ry7V900k0w._HHnnBYCz_TMU7kcj6jh34JXCa1o3lgBClDRG2mKdpQ""],""compatibility"":[{""brand"":""Voyah"",""model"":""Taishan"",""generation"":""I"",""years"":[2025,2026],""yearFrom"":2025,""yearTo"":2026,""raw"":""Voyah|Taishan|I (2025—2026)|1.5hyb 4WD AT (517 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""I"",""year_from"":2025,""year_to"":2026},{""product_id"":1239,""source_id"":""8044294704"",""canonical_path"":""/catalog/product/fara-perednyaya-pravaya-nizhnyaya-voyah-taishan-1239/"",""title"":""Фара передняя правая нижняя Voyah Taishan"",""detail"":""Фара передняя правая нижняя"",""brand"":""Voyah"",""model"":""Taishan"",""category_id"":""c1002"",""oem"":""371102068"",""price"":151998,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.hmfvy7awKo7ZfKiD762lVc5rKI5fYiKEWQ.EBjIETMM5g8z_ln8BbIwXEYjDiDKQF0CQckaGtMbrBY""],""compatibility"":[{""brand"":""Voyah"",""model"":""Taishan"",""generation"":""I"",""years"":[2025,2026],""yearFrom"":2025,""yearTo"":2026,""raw"":""Voyah|Taishan|I (2025—2026)|1.5hyb 4WD AT (517 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""I"",""year_from"":2025,""year_to"":2026}]","[""Фара передняя левая нижняя | side_not_set"",""Фара передняя правая нижняя | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[1370,2071]","needs_manual_confirmation","[""6608181650C15""]","[""6608181650c15""]","[{""product_id"":1370,""source_id"":""7916342758"",""canonical_path"":""/catalog/product/ventilyator-radiatora-livan-x6-pro-1370/"",""title"":""Вентилятор радиатора Livan X6 Pro"",""detail"":""Вентилятор радиатора"",""brand"":""Livan"",""model"":""X6 pro"",""category_id"":""c1003"",""oem"":""6608181650C15"",""price"":9500,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.z1lKe7awY7B8zOG9WBzbamvbYbD60mu6_A.PhYZD2rc961pzuEY1LBIfT_V-dpMegMkPmIn50vapCI""],""compatibility"":[{""brand"":""Livan"",""model"":""X6 pro"",""generation"":""I"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Livan|X6 pro|I (2023—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2023,""year_to"":2026},{""product_id"":2071,""source_id"":""7916354197"",""canonical_path"":""/catalog/product/ramka-radiatora-televizor-livan-x6-pro-2071/"",""title"":""Рамка радиатора(телевизор) Livan X6 Pro"",""detail"":""Рамка радиатора"",""brand"":""Livan"",""model"":""X6 pro"",""category_id"":""c1010"",""oem"":""6608181650C15"",""price"":20800,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.rrLdPrawAlvriYBWjRyVgPyeAFttlwpRaw.iyCg22ciaOm7hcZ9X45h8U267q7CknXv-JufquvvzCs""],""compatibility"":[{""brand"":""Livan"",""model"":""X6 pro"",""generation"":""I"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Livan|X6 pro|I (2023—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2023,""year_to"":2026}]","[""Вентилятор радиатора | side_not_set"",""Рамка радиатора | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[1884,2040]","needs_manual_confirmation","[""521620R908""]","[""521620r908""]","[{""product_id"":1884,""source_id"":""8108681286"",""canonical_path"":""/catalog/product/pravaya-chast-zadnego-bampera-toyota-rav4-v-1884/"",""title"":""Правая часть заднего бампера Toyota RAV4-V"",""detail"":""Правая часть заднего бампера -V"",""brand"":""Toyota"",""model"":""RAV4"",""category_id"":""c1010"",""oem"":""521620R908"",""price"":15912,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.9QrCqLawWeP0H9vupI-ZRu0IW-NyAVHpdA.AV0iNeV4oYdI1FxwbrPv1blyiLFKwnAGnUtMn5ZjpCs""],""compatibility"":[{""brand"":""Toyota"",""model"":""RAV4"",""generation"":""V"",""years"":[2018,2019,2020,2021,2022,2023,2024,2025,2026],""yearFrom"":2018,""yearTo"":2026,""raw"":""Toyota|RAV4|V (2018—2026)|||""}],""side"":"""",""generation"":""V"",""year_from"":2018,""year_to"":2026},{""product_id"":2040,""source_id"":""8108614663"",""canonical_path"":""/catalog/product/levaya-chast-zadnego-bampera-toyota-rav4-v-2040/"",""title"":""Левая часть заднего бампера Toyota RAV4-V"",""detail"":""Левая часть заднего бампера -V"",""brand"":""Toyota"",""model"":""RAV4"",""category_id"":""c1010"",""oem"":""521620R908"",""price"":15912,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.iCo9BrawJMMLsabOIUjXZxKmJsONryzJiw.Y1JhLi-Cp-cX-riz3vuboP9gOgo8Y5GHUz5iZmYvSKg""],""compatibility"":[{""brand"":""Toyota"",""model"":""RAV4"",""generation"":""V"",""years"":[2018,2019,2020,2021,2022,2023,2024,2025,2026],""yearFrom"":2018,""yearTo"":2026,""raw"":""Toyota|RAV4|V (2018—2026)|||""}],""side"":"""",""generation"":""V"",""year_from"":2018,""year_to"":2026}]","[""Правая часть заднего бампера -V | side_not_set"",""Левая часть заднего бампера -V | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[1914,2637]","needs_manual_confirmation","[""6608276886""]","[""6608276886""]","[{""product_id"":1914,""source_id"":""7948410266"",""canonical_path"":""/catalog/product/levaya-nakladka-per-bampera-geely-galaxy-l7-1914/"",""title"":""Левая накладка пер бампера Geely Galaxy L7"",""detail"":""Левая накладка пер бампера"",""brand"":""Geely"",""model"":""Galaxy L7"",""category_id"":""c1010"",""oem"":""6608276886"",""price"":3383,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.tI3hmrawGGTXLZpphfT9sMA6GmRRMxBuVw.j72pxUw1YGRL3KKOTq5ZosmG7nLd9ScV5uUJXeH9UwI"",""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.FsPvNrawuirZgTgnz0JY_s6WuCpfn7IgWQ.31OnBVnAcqBxs7o7IC_k5ZBosvP9i0pyQXah-yFKHBk""],""compatibility"":[{""brand"":""Geely"",""model"":""Galaxy L7"",""generation"":""I"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Geely|Galaxy L7|I (2023—2026)|1.5hyb DCT (163 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""I"",""year_from"":2023,""year_to"":2026},{""product_id"":2637,""source_id"":""7948733886"",""canonical_path"":""/catalog/product/pravaya-nakladka-per-bampera-geely-galaxy-l7-2637/"",""title"":""Правая накладка пер бампера Geely Galaxy L7"",""detail"":""Правая накладка пер бампера"",""brand"":""Geely"",""model"":""Galaxy L7"",""category_id"":""c1010"",""oem"":""6608276886"",""price"":3383,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.2H3fT7awdJTp-PaZ41CCQ_7vdpRv5nyeaQ.SGcft_996IvkjcX734NM9nazZiUDRvKvUXRVKfjagwE"",""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.ZL-zxbawyFaFckpb95QrgpJlylYDbMBcBQ.OqgRGgcg1M40vNPFZhO1mmqsnKjfO9eEgdq8vGNGjLA""],""compatibility"":[{""brand"":""Geely"",""model"":""Galaxy L7"",""generation"":""I"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Geely|Galaxy L7|I (2023—2026)|1.5hyb DCT (163 л.с.)|Внедорожник|5""}],""side"":"""",""generation"":""I"",""year_from"":2023,""year_to"":2026}]","[""Левая накладка пер бампера | side_not_set"",""Правая накладка пер бампера | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[2010,2742]","needs_manual_confirmation","[""101806176801661""]","[""101806176801661""]","[{""product_id"":2010,""source_id"":""7916870533"",""canonical_path"":""/catalog/product/nakladka-poroga-pravaya-vneshnyaya-livan-x3-pro-2010/"",""title"":""Накладка порога правая внешняя Livan X3 Pro"",""detail"":""Накладка порога правая внешняя"",""brand"":""Livan"",""model"":""X3 pro"",""category_id"":""c1010"",""oem"":""101806176801661"",""price"":8568,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.p6W-ELawC0yIp4lB_Fb4m5-wCUwOuQNGCA.9IESf5V-oLb9nmGjHCpyVFx9DMvqACd7CZfnQtOhcq8""],""compatibility"":[{""brand"":""Livan"",""model"":""X3 pro"",""generation"":""I"",""years"":[2022,2023,2024,2025,2026],""yearFrom"":2022,""yearTo"":2026,""raw"":""Livan|X3 pro|I (2022—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2022,""year_to"":2026},{""product_id"":2742,""source_id"":""7916676077"",""canonical_path"":""/catalog/product/nakladka-poroga-levaya-vneshnyaya-livan-x3-pro-2742/"",""title"":""Накладка порога левая внешняя Livan X3 Pro"",""detail"":""Накладка порога левая внешняя"",""brand"":""Livan"",""model"":""X3 pro"",""category_id"":""c1010"",""oem"":""101806176801661"",""price"":8568,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.q8b7KLawBy_Nn4UioU6f9NqIBS9LgQ8lTQ.D78-ogoRpHjl30KTXXYjTkBbndYOK9NKI0otHA3ZelU""],""compatibility"":[{""brand"":""Livan"",""model"":""X3 pro"",""generation"":""I"",""years"":[2022,2023,2024,2025,2026],""yearFrom"":2022,""yearTo"":2026,""raw"":""Livan|X3 pro|I (2022—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2022,""year_to"":2026}]","[""Накладка порога правая внешняя | side_not_set"",""Накладка порога левая внешняя | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[2116,2275,2739]","needs_manual_confirmation","[""5035081900C15""]","[""5035081900c15""]","[{""product_id"":2116,""source_id"":""4493201614"",""canonical_path"":""/catalog/product/krylo-perednee-levoe-geely-monjaro-original-2116/"",""title"":""Крыло переднее левое Geely Monjaro (оригинал)"",""detail"":""Крыло переднее левое"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1010"",""oem"":""5035081900C15"",""price"":31500,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Q0CEDLaw76myu22kji0PfaWs7ak0peejMg.uSVeM99Ooz5QUHZScBf6fc5DOVjtDyAF4nGqLFBLFhA""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026},{""product_id"":2275,""source_id"":""4492963358"",""canonical_path"":""/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2275/"",""title"":""Крыло переднее правое Geely Monjaro (оригинал)"",""detail"":""Крыло переднее правое"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1010"",""oem"":""5035081900C15"",""price"":31500,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.U_5dk7aw_xdrJH0ad_oxwnwz_RftOvcd6w.QWGUlxoPuEN61C29hQ-8nyWv15Z1lCQ_8avMLNPQTuc""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026},{""product_id"":2739,""source_id"":""4493473457"",""canonical_path"":""/catalog/product/krylo-perednee-pravoe-geely-monjaro-original-2739/"",""title"":""Крыло переднее правое Geely Monjaro (оригинал)"",""detail"":""Крыло переднее правое"",""brand"":""Geely"",""model"":""Monjaro"",""category_id"":""c1010"",""oem"":""5035081900C15"",""price"":31500,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.yTi1D7awZdGDuOfcq0SeBpSvZ9EFpm3bAw.CRo3dEf6gbH8Jnzuw-DslcbDFz15CzIAnJJG02qQ8Zo""],""compatibility"":[{""brand"":""Geely"",""model"":""Monjaro"",""generation"":""I"",""years"":[2021,2022,2023,2024,2025,2026],""yearFrom"":2021,""yearTo"":2026,""raw"":""Geely|Monjaro|I (2021—2026)|||""}],""side"":"""",""generation"":""I"",""year_from"":2021,""year_to"":2026}]","[""Крыло переднее левое | side_not_set"",""Крыло переднее правое | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[2117,2316]","needs_manual_confirmation","[""C928F2713010215""]","[""c928f2713010215""]","[{""product_id"":2117,""source_id"":""8108359400"",""canonical_path"":""/catalog/product/reshetka-radiatora-changan-cs75-plus-2117/"",""title"":""Решетка радиатора Changan CS75 Plus"",""detail"":""Решетка радиатора"",""brand"":""Changan"",""model"":""CS75 Plus"",""category_id"":""c1010"",""oem"":""C928F2713010215"",""price"":18360,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.XFNbT7aw8Lpt-HK3b3ZgFHTv8rrr5viw7Q.wPeD1MyR3HgRWxnDZxbfwPJvJDUv9nEG6q2-Y3DdQE8""],""compatibility"":[{""brand"":""Changan"",""model"":""CS75 Plus"",""generation"":""IV"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""Changan|CS75 Plus|IV (2024—2026)|||""}],""side"":"""",""generation"":""IV"",""year_from"":2024,""year_to"":2026},{""product_id"":2316,""source_id"":""8108875693"",""canonical_path"":""/catalog/product/perednii-bamper-changan-cs75-plus-2316/"",""title"":""Передний бампер Changan CS75 Plus"",""detail"":""Передний бампер"",""brand"":""Changan"",""model"":""CS75 Plus"",""category_id"":""c1010"",""oem"":""C928F2713010215"",""price"":17928,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Q-5-gLaw7wdIN20KdLUsrlEg7QfOKecNyA.vsJMmf--YlXNkpXKNHPTrEabNRkPCezBydX-K81WYDk""],""compatibility"":[{""brand"":""Changan"",""model"":""CS75 Plus"",""generation"":""IV"",""years"":[2024,2025,2026],""yearFrom"":2024,""yearTo"":2026,""raw"":""Changan|CS75 Plus|IV (2024—2026)|||""}],""side"":"""",""generation"":""IV"",""year_from"":2024,""year_to"":2026}]","[""Решетка радиатора | side_not_set"",""Передний бампер | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
"[2318,2329]","needs_manual_confirmation","[""6101020DD01""]","[""6101020dd01""]","[{""product_id"":2318,""source_id"":""7980671625"",""canonical_path"":""/catalog/product/perednyaya-pravaya-dver-hongqi-hs5-2318/"",""title"":""Передняя правая дверь Hongqi HS5"",""detail"":""Передняя правая дверь"",""brand"":""Hongqi"",""model"":""HS5"",""category_id"":""c1010"",""oem"":""6101020DD01"",""price"":63000,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.gcd2q7awLS5AHK8jeL3m-1cLLy7GAiUkwA.lqcXiEdeB-QEBSGM5WLaMVWYYssmp8SE5RRERp6VSoE""],""compatibility"":[{""brand"":""Hongqi"",""model"":""HS5"",""generation"":""I рестайлинг"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Hongqi|HS5|I рестайлинг (2023—2026)|||""}],""side"":"""",""generation"":""I рестайлинг"",""year_from"":2023,""year_to"":2026},{""product_id"":2329,""source_id"":""7979936848"",""canonical_path"":""/catalog/product/zadnyaya-pravaya-dver-hongqi-hs5-2329/"",""title"":""Задняя правая дверь Hongqi HS5"",""detail"":""Задняя правая дверь"",""brand"":""Hongqi"",""model"":""HS5"",""category_id"":""c1010"",""oem"":""6101020DD01"",""price"":63000,""condition"":""Новое"",""origin"":""Оригинал"",""photos"":[""http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.tI23TrawGGSB-Zpp03TQsZbuGmQH5xBuAQ.dH7AzlVx5e6-ak3r_1uy4NrOdCJAgUmsyUwEWEZPtpU""],""compatibility"":[{""brand"":""Hongqi"",""model"":""HS5"",""generation"":""I рестайлинг"",""years"":[2023,2024,2025,2026],""yearFrom"":2023,""yearTo"":2026,""raw"":""Hongqi|HS5|I рестайлинг (2023—2026)|||""}],""side"":"""",""generation"":""I рестайлинг"",""year_from"":2023,""year_to"":2026}]","[""Передняя правая дверь | side_not_set"",""Задняя правая дверь | side_not_set""]","suppress_oem_from_public_metadata_mpn_and_product_until_owner_confirmation"
