"page_type","entity_id","canonical_path","canonical_url","brand","brand_variants","model","model_variants","category","product_name","product_id","catalog_code","article_oem","condition","primary_query","secondary_queries","search_intent","title","description","h1","intro_text","faq","indexable","robots","status","validation_errors"
"home","home","/","https://xn--d1abifc1bn.xn--p1ai/","","[]","","[]","","","","","","","автозапчасти из Китая","[""доставка автозапчастей из Китая""]","commercial","KITRADE — автозапчасти из Китая с доставкой по России","Найдём автозапчасть у поставщиков в Китае, проверим перед отправкой и доставим в ваш город по России.","Автозапчасти из Китая с доставкой по всей России","","[]","true","index,follow","active","[]"
"catalog","catalog","/catalog/","https://xn--d1abifc1bn.xn--p1ai/catalog/","","[]","","[]","","","","","","","каталог автозапчастей из Китая","[""автозапчасти под заказ"",""подбор запчастей по VIN""]","commercial","Каталог автозапчастей из Китая под заказ | Китрейд","Каталог автозапчастей под заказ из Китая с ориентировочными ценами деталей и проверкой совместимости по VIN.","Автозапчасти из Китая под заказ для вашего автомобиля","Каталог деталей под заказ из Китая с обязательной проверкой совместимости по VIN.","[{""question"":""Как проверить совместимость детали?"",""answer"":""Совместимость подтверждается менеджером по VIN перед заказом.""}]","true","index,follow","active","[]"
"brand","b1003","/catalog/aito/","https://xn--d1abifc1bn.xn--p1ai/catalog/aito/","Aito","[""Aito""]","","[]","","","","","","","запчасти Aito","[""автозапчасти Aito"",""детали Aito из Китая""]","commercial","Запчасти Aito под заказ из Китая | Китрейд","Каталог запчастей Aito под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Aito под заказ из Китая","Запчасти Aito под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Aito?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1004","/catalog/voyah/","https://xn--d1abifc1bn.xn--p1ai/catalog/voyah/","Voyah","[""Voyah""]","","[]","","","","","","","запчасти Voyah","[""автозапчасти Voyah"",""детали Voyah из Китая""]","commercial","Запчасти Voyah под заказ из Китая | Китрейд","Каталог запчастей Voyah под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Voyah под заказ из Китая","Запчасти Voyah под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Voyah?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1005","/catalog/geely/","https://xn--d1abifc1bn.xn--p1ai/catalog/geely/","Geely","[""Geely""]","","[]","","","","","","","запчасти Geely","[""автозапчасти Geely"",""детали Geely из Китая""]","commercial","Запчасти Geely под заказ из Китая | Китрейд","Каталог запчастей Geely под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Geely под заказ из Китая","Запчасти Geely под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Geely?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1006","/catalog/volkswagen/","https://xn--d1abifc1bn.xn--p1ai/catalog/volkswagen/","Volkswagen","[""Volkswagen""]","","[]","","","","","","","запчасти Volkswagen","[""автозапчасти Volkswagen"",""детали Volkswagen из Китая""]","commercial","Запчасти Volkswagen под заказ из Китая | Китрейд","Каталог запчастей Volkswagen под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Volkswagen под заказ из Китая","Запчасти Volkswagen под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Volkswagen?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1007","/catalog/changan/","https://xn--d1abifc1bn.xn--p1ai/catalog/changan/","Changan","[""Changan""]","","[]","","","","","","","запчасти Changan","[""автозапчасти Changan"",""детали Changan из Китая""]","commercial","Запчасти Changan под заказ из Китая | Китрейд","Каталог запчастей Changan под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Changan под заказ из Китая","Запчасти Changan под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Changan?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1008","/catalog/toyota/","https://xn--d1abifc1bn.xn--p1ai/catalog/toyota/","Toyota","[""Toyota""]","","[]","","","","","","","запчасти Toyota","[""автозапчасти Toyota"",""детали Toyota из Китая""]","commercial","Запчасти Toyota под заказ из Китая | Китрейд","Каталог запчастей Toyota под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Toyota под заказ из Китая","Запчасти Toyota под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Toyota?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1009","/catalog/baic/","https://xn--d1abifc1bn.xn--p1ai/catalog/baic/","BAIC","[""BAIC""]","","[]","","","","","","","запчасти BAIC","[""автозапчасти BAIC"",""детали BAIC из Китая""]","commercial","Запчасти BAIC под заказ из Китая | Китрейд","Каталог запчастей BAIC под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти BAIC под заказ из Китая","Запчасти BAIC под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для BAIC?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1010","/catalog/livan/","https://xn--d1abifc1bn.xn--p1ai/catalog/livan/","Livan","[""Livan""]","","[]","","","","","","","запчасти Livan","[""автозапчасти Livan"",""детали Livan из Китая""]","commercial","Запчасти Livan под заказ из Китая | Китрейд","Каталог запчастей Livan под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Livan под заказ из Китая","Запчасти Livan под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Livan?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
"brand","b1011","/catalog/xiaomi/","https://xn--d1abifc1bn.xn--p1ai/catalog/xiaomi/","Xiaomi","[""Xiaomi""]","","[]","","","","","","","запчасти Xiaomi","[""автозапчасти Xiaomi"",""детали Xiaomi из Китая""]","commercial","Запчасти Xiaomi под заказ из Китая | Китрейд","Каталог запчастей Xiaomi под заказ из Китая. Подбор детали и обязательная проверка совместимости по VIN.","Запчасти Xiaomi под заказ из Китая","Запчасти Xiaomi под заказ из Китая с проверкой совместимости по VIN.","[{""question"":""Как подобрать запчасть для Xiaomi?"",""answer"":""Перед заказом совместимость детали проверяется по VIN.""}]","true","index,follow","active","[]"
