group_type;group_name;brand;model;economic_priority;landing_type;suggested_path;final_url;status
WIDE;WIDE | Китайские авто;;;;catalog_root;/catalog/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Geely;Geely;;;brand_filter;/catalog/geely/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Voyah;Voyah;;;brand_filter;/catalog/voyah/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | BAIC;BAIC;;;brand_filter;/catalog/baic/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Changan;Changan;;;brand_filter;/catalog/changan/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Livan;Livan;;;brand_filter;/catalog/livan/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | BYD;BYD;;;brand_filter;/catalog/byd/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Haval;Haval;;;brand_filter;/catalog/haval/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Tank;Tank;;;brand_filter;/catalog/tank/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Wey;Wey;;;brand_filter;/catalog/wey/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Fang Cheng Bao;Fang Cheng Bao;;;brand_filter;/catalog/fang-cheng-bao/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Hongqi;Hongqi;;;brand_filter;/catalog/hongqi/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Li Auto;Li Auto;;;brand_filter;/catalog/li-auto/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Zeekr;Zeekr;;;brand_filter;/catalog/zeekr/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Exeed;Exeed;;;brand_filter;/catalog/exeed/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Aito;Aito;;;brand_filter;/catalog/aito/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Xiaomi;Xiaomi;;;brand_filter;/catalog/xiaomi/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Polar Stone (Jishi);Polar Stone (Jishi);;;brand_filter;/catalog/polar-stone-jishi/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | BAW;BAW;;;brand_filter;/catalog/baw/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Chery;Chery;;;brand_filter;/catalog/chery/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | HiPhi;HiPhi;;;brand_filter;/catalog/hiphi/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Great Wall;Great Wall;;;brand_filter;/catalog/great-wall/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Dongfeng;Dongfeng;;;brand_filter;/catalog/dongfeng/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Baojun;Baojun;;;brand_filter;/catalog/baojun/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Omoda;Omoda;;;brand_filter;/catalog/omoda/;;WAITING_FOR_SITE_ROUTES
BRAND;BRAND | Jetour;Jetour;;;brand_filter;/catalog/jetour/;;WAITING_FOR_SITE_ROUTES
